"","College","Longitude","Latitude"
"482","Palo Verde College",-114.651698,33.661538
"483","Palomar College",-117.181718,33.15019
"484","Paris Beauty College",-122.043458,37.972204
"485","Pasadena City College",-118.118196,34.144552
"486","Pepperdine University",-118.707677,34.041912
"487","Peralta Community College System Office",-122.259719,37.793018
"488","Pitzer College",-117.705939,34.103408
"489","Platt College-San Diego",-117.063483,32.76373
"490","Point Loma Nazarene University",-117.251204,32.713295
"491","Pomona College",-117.711944,34.098298
"492","Porterville College",-119.014368,36.049256
"493","Westwood College-South Bay",-118.289777,33.85182
"494","Professional Institute of Beauty",-118.038,34.075
"495","Santa Ana College",-117.888384,33.759203
"496","Pardee RAND Graduate School",-118.49047,34.009975
"497","Shasta School of Cosmetology",-122.387211,40.59708
"498","University of Redlands",-117.163847,34.063571
"499","College of the Redwoods",-124.195075,40.696744
"500","Salon Success Academy-Upland",-117.631091,34.108353
"501","Salon Success Academy-Corona",-117.535451,33.84778
"502","Rio Hondo College",-118.033329,34.019878
"503","Riverside City College",-117.38054,33.971481
"504","Argosy University-San Francisco Bay Area",-122.267523,37.781238
"505","Rosemead Beauty School",-118.082793,34.080756
"506","Dongguk University-Los Angeles",-118.289927,34.066226
"507","Rudolf Steiner College",-121.28799,38.636493
"508","Sacramento City College",-121.49166,38.541883
"509","Saddleback College",-117.664876,33.551925
"510","Samuel Merritt University",-122.266854,37.819955
"511","San Diego Community College District-District Office",-117.12114,32.776348
"512","San Diego City College",-117.151641,32.718855
"513","Golf Academy of America-Carlsbad",-117.283394,33.12291
"514","San Diego Mesa College",-117.169072,32.804935
"515","San Diego Miramar College",-117.120888,32.909546
"516","San Diego State University",-117.071228,32.77525
"517","University of San Diego",-117.188721,32.77142
"518","San Francisco Art Institute",-122.417,37.803575
"519","San Francisco Conservatory of Music",-122.420143,37.775322
"520","San Francisco State University",-122.477905,37.721345
"521","San Francisco Theological Seminary",-122.564302,37.969594
"522","University of San Francisco",-122.450977,37.775564
"523","San Joaquin College of Law",-119.6978,36.823978
"524","San Joaquin Delta College",-121.317226,37.994643
"525","San Joaquin Valley College-Visalia",-119.384981,36.328049
"526","William Jessup University",-121.292312,38.819728
"527","San Jose-Evergreen Community College District",-121.771202,37.300847
"528","San Jose City College",-121.929747,37.316293
"529","San Jose State University",-121.881214,37.335201
"530","San Mateo County Community College District Office",-122.337603,37.531184
"531","College of San Mateo",-122.336078,37.534357
"532","Santa Barbara Business College-Bakersfield",-119.061264,35.359544
"533","Westwood College-Los Angeles",-118.293292,34.061397
"534","Santa Barbara Business College-Santa Maria",-119.699744,34.403862
"535","Santa Barbara City College",-119.698045,34.406788
"536","Santa Clara University",-121.938189,37.352706
"537","Santa Monica College",-118.470431,34.018968
"538","Santa Rosa Junior College",-122.720689,38.45416
"539","Saybrook University",-122.272255,37.804741
"540","Scripps College",-117.711336,34.103655
"541","Wyotech-Fremont",-121.919395,37.469279
"542","College of the Sequoias",-119.314775,36.322957
"543","Shasta Bible College and Graduate School",-122.315742,40.564208
"544","Shasta College",-122.317982,40.625731
"545","Sierra College",-121.212646,38.792758
"546","Sierra College of Beauty",-120.495668,37.306585
"547","Sierra Valley College of Court Reporting",-119.773017,36.802756
"548","Trinity Law School",-117.852059,33.766071
"549","Simpson University",-122.333048,40.61331
"550","College of the Siskiyous",-122.389166,41.413848
"551","Charles A Jones Career and Education Center",-121.44111,38.51651
"552","Skyline College",-122.465978,37.630543
"553","San Bernardino Valley College",-117.313814,34.088717
"554","Saint Mary's College of California",-122.106795,37.83997
"555","Solano Community College",-122.120232,38.235513
"556","Sonoma State University",-122.673261,38.341023
"557","Pinnacle College",-118.150493,34.081485
"558","South Baylo University",-117.958663,33.847936
"559","South Coast College",-117.874109,33.787946
"560","Vanguard University of Southern California",-117.900911,33.662686
