"","Player","Team","Salary","Position"
"332","Ronnie Brewer","Chicago Bulls",1310286,"SF"
"333","Solomon Hill","Indiana Pacers",1302840,"SF"
"334","Rodney Hood","Utah Jazz",1290360,"SG"
"335","Alan Anderson","Brooklyn Nets",1276061,"SG"
"336","Tim Hardaway Jr.","New York Knicks",1250640,"SG"
"337","Hasheem Thabeet","Detroit Pistons",1250000,"C"
"338","Pero Antic","Atlanta Hawks",1250000,"PF"
"339","Shabazz Napier","Miami Heat",1238640,"PG"
"340","Aaron Gray","Detroit Pistons",1227985,"C"
"341","Shawne Williams","Miami Heat",1227985,"SF"
"343","Shavlik Randolph","Phoenix Suns",1227985,"PF"
"344","Tony Wroten","Philadelphia 76ers",1210080,"SG"
"345","Reggie Bullock","Phoenix Suns",1200720,"SF"
"346","Clint Capela","Houston Rockets",1189200,"C"
"347","Miles Plumlee","Phoenix Suns",1169880,"C"
"348","Andre Roberson","Oklahoma City Thunder",1160880,"SG"
"349","P.J. Hairston","Charlotte Hornets",1149720,"SF"
"350","Brandon Rush","Golden State Warriors",1145685,"SG"
"351","Hilton Armstrong","Golden State Warriors",1145685,"PF"
"352","Cartier Martin","Detroit Pistons",1145685,"PF"
"354","Arnett Moultrie","New York Knicks",1136160,"PF"
"355","Perry Jones","Oklahoma City Thunder",1129200,"SF"
"356","Rudy Gobert","Utah Jazz",1127400,"C"
"357","Marquis Teague","Philadelphia 76ers",1120920,"PG"
"358","Festus Ezeli","Golden State Warriors",1112880,"C"
"359","Archie Goodwin","Phoenix Suns",1112280,"SG"
"360","C.J. Wilcox","Los Angeles Clippers",1109760,"SG"
"361","Nemanja Nedovic","Golden State Warriors",1104240,"PG"
"362","Damjan Rudez","Indiana Pacers",1100000,"SF"
"363","Kyle Anderson","San Antonio Spurs",1093680,"SF"
"365","Kyle Singler","Oklahoma City Thunder",1090000,"SF"
"366","Xavier Henry","Los Angeles Lakers",1082000,"SG"
"367","Robert Covington","Philadelphia 76ers",1e+06,"SF"
"368","Garrett Temple","Washington Wizards",981084,"SG"
"369","Ed Davis","Los Angeles Lakers",981084,"C"
"370","Al-Farouq Aminu","Dallas Mavericks",981084,"SF"
"371","Luke Babbitt","New Orleans Pelicans",981084,"SF"
"372","Alexis Ajinca","New Orleans Pelicans",981084,"C"
"373","Jon Leuer","Memphis Grizzlies",967500,"PF"
"374","Josh Harrellson","Washington Wizards",948163,"C"
"376","Joey Dorsey","Houston Rockets",948163,"PF"
"377","Donald Sloan","Indiana Pacers",948163,"PG"
"378","Jeremy Tyler","Houston Rockets",948163,"C"
"379","E'Twaun Moore","Chicago Bulls",948163,"SG"
"380","Ryan Hollins","Sacramento Kings",915243,"C"
"381","Drew Gooden","Washington Wizards",915243,"PF"
"382","Cole Aldrich","New York Knicks",915243,"C"
"383","Jason Maxiell","Charlotte Hornets",915243,"PF"
"384","Jannero Pargo","Charlotte Hornets",915243,"PG"
"385","Jeff Taylor","Charlotte Hornets",915243,"SF"
"387","Rasual Butler","Washington Wizards",915243,"SF"
"388","Matt Bonner","San Antonio Spurs",915243,"C"
"389","Sebastian Telfair","Oklahoma City Thunder",915243,"PG"
"390","Ronnie Price","Los Angeles Lakers",915243,"PG"
"391","Shawn Marion","Cleveland Cavaliers",915243,"SG"
"392","Jae Crowder","Dallas Mavericks",915243,"SF"
"393","J.J. Barea","Dallas Mavericks",909859,"PG"
"394","Devyn Marble","Orlando Magic",884879,"SF"
"395","Jerami Grant","Philadelphia 76ers",884879,"SF"
"396","Joe Harris","Cleveland Cavaliers",884879,"SG"
"398","Robbie Hummel","Minnesota Timberwolves",880000,"SF"
"399","Allen Crabbe","Portland Trail Blazers",862000,"SF"
"400","Ish Smith","Oklahoma City Thunder",861405,"PG"
"401","Damien Inglis","Milwaukee Bucks",820000,"SF"
"402","Isaiah Canaan","Philadelphia 76ers",816842,"PG"
"403","Glen Rice Jr.","Washington Wizards",816482,"SG"
"404","Tony Mitchell","Golden State Warriors",816482,"PF"
"405","Troy Daniels","Charlotte Hornets",816482,"SG"
"406","Peyton Siva","Orlando Magic",816482,"PG"
"407","Phil Pressey","Boston Celtics",816482,"PG"
"409","Ray McCallum","Sacramento Kings",816482,"PG"
"410","Carrick Felix","Utah Jazz",816482,"SG"
"411","Nick Calathes","Memphis Grizzlies",816482,"SG"
"412","Jeff Withey","New Orleans Pelicans",816482,"C"
"413","Mike Muscala","Atlanta Hawks",816482,"PF"
"414","Erik Jay Murphy","Boston Celtics",816482,"PF"
"415","Justin Holiday","Golden State Warriors",816482,"SG"
"416","Hassan Whiteside","Miami Heat",769881,"C"
"417","Jeff Adrien","Minnesota Timberwolves",742962,"SF"
"418","Jarnell Stokes","Memphis Grizzlies",725000,"PF"
"420","Dante Cunningham","New Orleans Pelicans",716043,"PF"
"421","Malcolm Lee","Philadelphia 76ers",710659,"SG"
"422","Darius Morris","Brooklyn Nets",702756,"PG"
"423","Spencer Dinwiddie","Detroit Pistons",7e+05,"PG"
"424","Malcolm Thomas","Philadelphia 76ers",635827,"PF"
"425","Gal Mekel","New Orleans Pelicans",633974,"PG"
"426","Johnny O'Bryant III","Milwaukee Bucks",6e+05,"PF"
"427","JaKarr Sampson","Philadelphia 76ers",507336,"SG"
"428","Pierre Jackson","Philadelphia 76ers",507336,"PG"
"429","Sim Bhullar","Sacramento Kings",507336,"C"
"431","James Ennis","Miami Heat",507336,"SF"
"432","Russ Smith","Memphis Grizzlies",507336,"PG"
"433","Cory Jefferson","Brooklyn Nets",507336,"PF"
"434","Patric Young","New Orleans Pelicans",507336,"PF"
"435","Will Cherry","Cleveland Cavaliers",495399,"PG"
"436","Kalin Lucas","Memphis Grizzlies",486446,"PG"
"437","Drew Gordon","Philadelphia 76ers",468540,"C"
"438","Kenyon Martin","Milwaukee Bucks",414551,"PF"
"439","Lou Amundson","New York Knicks",409167,"PF"
"440","Lance Thomas","Oklahoma City Thunder",403784,"SF"
"442","Dahntay Jones","Los Angeles Clippers",387632,"SG"
"443","Patrick Christopher","Utah Jazz",379010,"SG"
"444","Ronald Roberts Jr.","Toronto Raptors",373041,"PF"
"445","Reggie Williams","San Antonio Spurs",344036,"SF"
"446","Amar'e Stoudemire","New York Knicks",306876,"PF"
"447","Lorenzo Brown","Minnesota Timberwolves",283367,"PG"
"448","Kendrick Perkins","Oklahoma City Thunder",274573,"C"
"449","John Lucas III","Detroit Pistons",269189,"PG"
"450","Elijah Millsap","Utah Jazz",241731,"SG"
"451","Bernard James","Dallas Mavericks",236886,"C"
"453","Langston Galloway","New York Knicks",235762,"SG"
"454","Tyler Johnson","Miami Heat",199950,"SG"
"455","Henry Walker","Miami Heat",196217,"SF"
"456","Michael Beasley","Miami Heat",195440,"SF"
"457","Quincy Miller","Sacramento Kings",183049,"SF"
"458","Earl Barron","Phoenix Suns",183049,"C"
"459","James Michael McAdoo","Golden State Warriors",167122,"SF"
"460","Jordan Hamilton","Los Angeles Clippers",150591,"SG"
"461","JaMychal Green","Memphis Grizzlies",134295,"PF"
"462","Elliot Williams","Utah Jazz",107676,"SG"
"464","Toney Douglas","New Orleans Pelicans",107676,"PG"
"465","Chris Johnson","Utah Jazz",107676,"SF"
"466","Nate Robinson","Los Angeles Clippers",107676,"PG"
"467","Toure' Murry","Washington Wizards",96056,"SF"
"468","Jorge Gutierrez","Brooklyn Nets",96056,"PG"
"469","Bryce Cotton","Utah Jazz",92514,"PG"
"470","Jabari Brown","Los Angeles Lakers",59686,"SG"
"471","Tim Frazier","Portland Trail Blazers",59686,"PG"
"472","Jack Cooley","Utah Jazz",59686,"SF"
"473","Tyrus Thomas","Memphis Grizzlies",53838,"PF"
"475","A.J. Price","Phoenix Suns",53838,"PG"
"476","Austin Daye","San Antonio Spurs",53838,"SF"
"477","Seth Curry","Phoenix Suns",48028,"SG"
"478","Ricky Ledo","New York Knicks",48028,"SG"
"479","Andre Dawkins","Miami Heat",29843,"SG"
"480","David Stockton","Sacramento Kings",29483,"PG"
