"","Player","Team","Salary","Position"
"368","Garrett Temple","Washington Wizards","$981,084","SG"
"369","Ed Davis","Los Angeles Lakers","$981,084","C"
"370","Al-Farouq Aminu","Dallas Mavericks","$981,084","SF"
"371","Luke Babbitt","New Orleans Pelicans","$981,084","SF"
"372","Alexis Ajinca","New Orleans Pelicans","$981,084","C"
"373","Jon Leuer","Memphis Grizzlies","$967,500","PF"
"374","Josh Harrellson","Washington Wizards","$948,163","C"
"376","Joey Dorsey","Houston Rockets","$948,163","PF"
"377","Donald Sloan","Indiana Pacers","$948,163","PG"
"378","Jeremy Tyler","Houston Rockets","$948,163","C"
"379","E'Twaun Moore","Chicago Bulls","$948,163","SG"
"380","Ryan Hollins","Sacramento Kings","$915,243","C"
"381","Drew Gooden","Washington Wizards","$915,243","PF"
"382","Cole Aldrich","New York Knicks","$915,243","C"
"383","Jason Maxiell","Charlotte Hornets","$915,243","PF"
"384","Jannero Pargo","Charlotte Hornets","$915,243","PG"
"385","Jeff Taylor","Charlotte Hornets","$915,243","SF"
"387","Rasual Butler","Washington Wizards","$915,243","SF"
"388","Matt Bonner","San Antonio Spurs","$915,243","C"
"389","Sebastian Telfair","Oklahoma City Thunder","$915,243","PG"
"390","Ronnie Price","Los Angeles Lakers","$915,243","PG"
"391","Shawn Marion","Cleveland Cavaliers","$915,243","SG"
"392","Jae Crowder","Dallas Mavericks","$915,243","SF"
"393","J.J. Barea","Dallas Mavericks","$909,859","PG"
"394","Devyn Marble","Orlando Magic","$884,879","SF"
"395","Jerami Grant","Philadelphia 76ers","$884,879","SF"
"396","Joe Harris","Cleveland Cavaliers","$884,879","SG"
"398","Robbie Hummel","Minnesota Timberwolves","$880,000","SF"
"399","Allen Crabbe","Portland Trail Blazers","$862,000","SF"
"400","Ish Smith","Oklahoma City Thunder","$861,405","PG"
"401","Damien Inglis","Milwaukee Bucks","$820,000","SF"
"402","Isaiah Canaan","Philadelphia 76ers","$816,842","PG"
"403","Glen Rice Jr.","Washington Wizards","$816,482","SG"
"404","Tony Mitchell","Golden State Warriors","$816,482","PF"
"405","Troy Daniels","Charlotte Hornets","$816,482","SG"
"406","Peyton Siva","Orlando Magic","$816,482","PG"
"407","Phil Pressey","Boston Celtics","$816,482","PG"
"409","Ray McCallum","Sacramento Kings","$816,482","PG"
"410","Carrick Felix","Utah Jazz","$816,482","SG"
"411","Nick Calathes","Memphis Grizzlies","$816,482","SG"
"412","Jeff Withey","New Orleans Pelicans","$816,482","C"
"413","Mike Muscala","Atlanta Hawks","$816,482","PF"
"414","Erik Jay Murphy","Boston Celtics","$816,482","PF"
"415","Justin Holiday","Golden State Warriors","$816,482","SG"
"416","Hassan Whiteside","Miami Heat","$769,881","C"
"417","Jeff Adrien","Minnesota Timberwolves","$742,962","SF"
"418","Jarnell Stokes","Memphis Grizzlies","$725,000","PF"
