"","Player","Position","Team","Salary14-15"
"403","Glen Rice Jr.",", SG","Washington Wizards","$816,482"
"467","Toure' Murry",", SF","Washington Wizards","$96,056"
"66","Kyle Korver",", SG","Atlanta Hawks","$6,253,521"
"124","Thabo Sefolosha",", SG","Atlanta Hawks","$4,150,000"
"154","Mike Scott",", PF","Atlanta Hawks","$3,333,333"
"206","DeMarre Carroll",", SF","Atlanta Hawks","$2,442,455"
"208","Shelvin Mack",", PG","Atlanta Hawks","$2,433,333"
"237","Kent Bazemore",", SF","Atlanta Hawks","$2,000,000"
"256","Dennis Schroder",", PG","Atlanta Hawks","$1,690,680"
"285","John Jenkins",", SG","Atlanta Hawks","$1,312,920"
"294","Pero Antic",", PF","Atlanta Hawks","$1,250,000"
"310","Al Horford",", C","Atlanta Hawks","$12,000,000"
"329","Paul Millsap",", PF","Atlanta Hawks","$9,500,000"
"346","Jeff Teague",", PG","Atlanta Hawks","$8,000,000"
"413","Mike Muscala",", PF","Atlanta Hawks","$816,482"
"48","Avery Bradley",", PG","Boston Celtics","$7,191,011"
"55","Brandon Bass",", PF","Boston Celtics","$6,900,000"
"160","Marcus Smart",", PG","Boston Celtics","$3,283,320"
"163","Evan Turner",", SG","Boston Celtics","$3,278,000"
"223","Vitor Faverani",", C","Boston Celtics","$2,090,000"
"229","Kelly Olynyk",", C","Boston Celtics","$2,075,760"
"255","Tyler Zeller",", C","Boston Celtics","$1,703,760"
"257","James Young",", SG","Boston Celtics","$1,674,480"
"278","Jared Sullinger",", C","Boston Celtics","$1,424,520"
"323","Gerald Wallace",", SF","Boston Celtics","$10,105,855"
"407","Phil Pressey",", PG","Boston Celtics","$816,482"
"414","Erik Jay Murphy",", PF","Boston Celtics","$816,482"
"59","Wilson Chandler",", SF","Denver Nuggets","$6,757,913"
"87","JJ Hickson",", C","Denver Nuggets","$5,381,750"
"113","Timofey Mozgov",", C","Denver Nuggets","$4,650,000"
"149","Darrell Arthur",", PF","Denver Nuggets","$3,457,149"
"181","Randy Foye",", SG","Denver Nuggets","$3,000,000"
"197","Jameer Nelson",", PG","Denver Nuggets","$2,732,000"
"216","Kenneth Faried",", PF","Denver Nuggets","$2,249,768"
